dwell,flight
0.06893706321716309,0.0
0.08168435096740723,42.09339380264282
0.09124135971069336,0.14793658256530762
0.10675430297851562,0.35930418968200684
0.07623672485351562,0.09544610977172852
0.06384110450744629,0.16263103485107422
0.06361031532287598,0.9542608261108398
0.09628629684448242,0.14564156532287598
0.08336853981018066,0.08139610290527344
0.14914917945861816,0.2038109302520752
0.09505152702331543,0.032224178314208984
0.11507225036621094,0.06517601013183594
0.06326603889465332,0.14208126068115234
0.06327080726623535,1.2499804496765137
0.0843656063079834,0.6629819869995117
0.06429362297058105,0.3032417297363281
0.06478619575500488,0.1939680576324463
0.07358598709106445,0.19443273544311523
0.06921792030334473,1.0879552364349365
0.09572005271911621,0.37911057472229004
0.08003687858581543,0.09740567207336426
0.11341643333435059,0.14725041389465332
0.08865785598754883,0.055227041244506836
0.07499098777770996,0.24828815460205078
0.09224557876586914,0.1484384536743164
0.1894984245300293,0.9971799850463867
0.12782907485961914,0.001588582992553711
0.11455082893371582,0.1457231044769287
0.07393336296081543,0.09797072410583496
0.10020828247070312,0.1339864730834961
0.11125564575195312,0.5312843322753906
0.0774068832397461,0.07513141632080078
0.06267523765563965,0.2275705337524414
0.09756851196289062,0.21098637580871582
0.06335592269897461,0.10572361946105957
0.05147242546081543,0.3737447261810303
0.11805963516235352,0.26125597953796387
0.07909321784973145,0.16825389862060547
0.04828143119812012,0.5906190872192383
0.11726880073547363,0.29496002197265625
0.08001303672790527,0.15284037590026855
0.09193968772888184,0.14501166343688965
0.07669472694396973,6.426745653152466
0.06034064292907715,0.18039345741271973
0.13179945945739746,0.201371431350708
0.08222222328186035,0.11486291885375977
0.0630650520324707,0.13205647468566895
0.06467700004577637,0.3222689628601074
0.07086896896362305,0.6564974784851074
0.08408951759338379,0.26688408851623535
0.11691451072692871,0.25708627700805664
0.060164690017700195,0.21287822723388672
0.07969927787780762,0.10922741889953613
0.08057379722595215,1.2124743461608887
0.06489729881286621,0.17636680603027344
0.07645702362060547,0.17746710777282715
0.060717105865478516,1.9836325645446777
0.10708808898925781,0.44568753242492676
0.1923995018005371,0.38724303245544434
0.10004281997680664,0.5162420272827148
0.09558391571044922,2.7562224864959717
0.09566593170166016,1.257265567779541
0.08004546165466309,0.21593642234802246
0.1303412914276123,0.12892389297485352
0.06952667236328125,0.05265164375305176
0.07981514930725098,0.3384535312652588
0.09273290634155273,1.0216352939605713
0.12571072578430176,0.995746374130249
0.06684207916259766,3.088812828063965
0.08774805068969727,0.3890094757080078
0.09661698341369629,0.6427352428436279
0.07898402214050293,0.7630634307861328
0.08041644096374512,0.11237072944641113
0.08758211135864258,0.3242654800415039
0.14464902877807617,1.124356985092163
0.08815598487854004,0.178694486618042
0.06383967399597168,0.19287729263305664
0.09352850914001465,0.2788820266723633
0.12878704071044922,0.18900799751281738
0.09220027923583984,0.155012845993042
0.16341376304626465,0.1774754524230957
0.0778799057006836,0.01725482940673828
0.11270260810852051,1.3400230407714844
0.07995843887329102,0.18124890327453613
0.08262348175048828,0.12916898727416992
0.0764920711517334,0.06232953071594238
0.14422297477722168,0.4091346263885498
0.09568214416503906,0.03204035758972168
0.11259603500366211,0.031662940979003906
0.07602047920227051,0.05196332931518555
0.05914473533630371,0.36533427238464355
0.12437582015991211,0.11527371406555176
0.07875251770019531,0.05297446250915527
0.12216997146606445,0.4120454788208008
0.09083032608032227,0.10107660293579102
0.12896132469177246,0.19577622413635254
0.10648179054260254,0.14481830596923828
0.05628705024719238,0.1368086338043213
0.11670136451721191,0.1617724895477295
0.10671830177307129,0.0753946304321289
0.13344097137451172,0.09644484519958496
0.17331624031066895,0.11603879928588867
0.08876204490661621,0.01887989044189453
0.0979928970336914,0.11588859558105469
0.05395221710205078,0.08719682693481445
0.12816429138183594,0.33963441848754883
0.06513833999633789,0.09714126586914062
0.10675191879272461,0.12830090522766113
0.08692264556884766,0.08715605735778809
0.12486624717712402,0.26559019088745117
0.09612441062927246,0.15685343742370605
0.129103422164917,0.3086066246032715
0.08305764198303223,0.08148837089538574
0.08734893798828125,0.17845368385314941
0.0730140209197998,0.2539970874786377
0.05525565147399902,0.13676953315734863
0.09030342102050781,0.11332988739013672
0.06402993202209473,0.600579023361206
0.07866096496582031,0.11942100524902344
0.0677034854888916,0.23542261123657227
0.08392000198364258,2.4457006454467773
0.08791875839233398,0.11341404914855957
0.08568310737609863,0.09934163093566895
0.14465618133544922,0.2917001247406006
0.2022230625152588,0.0809929370880127
0.11143279075622559,0.25884509086608887
0.16620564460754395,0.265972375869751
0.093048095703125,0.1809859275817871
0.07602071762084961,0.24065232276916504
0.0682523250579834,0.23894739151000977
0.07929229736328125,0.30384206771850586
0.22585725784301758,6.20714545249939
